LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
239,1500,2500,ANDY WARHOL (after) Dollar Signs Portfolio,"ANDY WARHOL (after)Dollar Signs Portfolio.Complete set of 4 color screenprints on Museum Board. Each 505x405 mm; 19¾x15 inches (sheets), full margins. Edition of 100. Each stamped ""Fill in your own signature"" and ""Published by Sunday B. Morning"" in ink, verso. Each with vibrant colors.",,,776897
240,8000,12000,ANDY WARHOL Committee 2000.,"ANDY WARHOL
Committee 2000.

Color screenprint on Lenox Museum Board, 1982. 762x508 mm; 30x20 inches, full margins. Signed and numbered 1474/2000 in pencil, lower right. Printed by Rupert Jasen Smith, New York, with the blind stamp, lower left. Published by Committee 2000, Munich. A superb impression with strong colors. Feldman 289.",,,776333
241,3000,5000,ANDY WARHOL (after) Mick Jagger Portfolio,"ANDY WARHOL (after)Mick Jagger Portfolio. Complete set of 10 color offset lithograph gallery postcards, 1975. Each 155x100 mm; 6x4 inches (sheets). Edition of 250. Each signed in felt-tip pen and black ink, recto. Printed by Studio Heinrici, New York. Published by Seabird Editions. With the original printed paper folder.Based on Warhol's same-titled portfolio of 10 color screenprints of Mick Jagger from 1975, see Feldman 138-147.",,,774212
242,1000,1500,ANDY WARHOL (after) Chanel No,"ANDY WARHOL (after)Chanel No. 5.Color offset lithograph poster, 1997. 1590x1150 mm; 62½x45¼ inches.In 1985 Warhol designed a series of nine limited edition screenprints, including Chanel (Feldman 354), which depicts the company's iconic perfume bottle against a two-colored background. In 1997, the company revisited this image to use in an advertising campaign. The resulting posters exist in two sizes. This is the larger format, intended for use in French bus shelters.",,,776786
243,1500,2500,"ANDY WARHOL (after) Munch's ""The Scream","ANDY WARHOL (after)Munch's ""The Scream.""Complete set of 3 color screenprints on Museum Board. Each 895x640 mm; 35x25 inches (sheets), full margins. Edition of 1500. Each stamped ""Fill in your own signature"" and ""Published by Sunday B. Morning"" in ink, verso. Each with vibrant colors.",,,776898
244,2000,3000,ANDY WARHOL (after) The Moonwalk,"ANDY WARHOL (after)The Moonwalk.Color screenprint on Museum Board. 980x980 mm; 38½sx38½ inches (sheet), full margins. Edition of 3000. Stamped ""Fill in your own signature"" and ""Published by Sunday B. Morning"" in ink, verso. A very good impression with vibrant colors.",,,776899
245,7000,10000,ROY LICHTENSTEIN Finger Pointing.,"ROY LICHTENSTEIN
Finger Pointing.

Color lithograph on white wove paper, 1973. 302x227 mm; 11x9 inches (sheet), full margins. Artist's proof, aside from the edition of 300. Inscribed ""P.C. 17/31"" in pencil, verso. Printed by Styria Studios, Inc., New York, with the ink stamp, verso. Published by Experiments in Art and Technology, Inc., New York. From The New York Collection for Stockholm. With the original Crane's Bond paper folder with the artist's name. A very good impression with vibrant colors. Corlett 126.",,,775772
246,5000,8000,"ROY LICHTENSTEIN As I Opened Fire Poster, Triptych.","ROY LICHTENSTEIN
As I Opened Fire Poster, Triptych.

Set of 3 color offset lithographs, 1966. Each 610x497 mm; 24x19 inches, full margins. The last panel signed in pencil, lower right. Printed by Drukkerij Luii & Co., Amsterdam. Published by the Stedelijk Museum, Amsterdam. According to Corlett, ""This is a reproduction of the painting As I Opened Fire (1964) in the collection of the Stedelijk Museum, Amsterdam. Over the years several sizeable editions have been printed, and the reproductions are still available at the museum. A number of these reproductions have been autographed."" Corlett App. 5.",,,776226
247,4000,6000,ROY LICHTENSTEIN Sunrise.,"ROY LICHTENSTEIN
Sunrise.

Offset lithograph, 1965. 435x590 mm; 17x23 inches, full margins. Signed in pencil, lower right. Printed by Colorcraft, New York. Published by Leo Castelli Gallery, New York. Corlett II 7.",,,774628
248,2500,3500,ROY LICHTENSTEIN Joanna.,"ROY LICHTENSTEIN
Joanna.

Color offset lithograph, 1968. 392x575 mm; 15½x22 inches, full margins. Signed in pencil, lower right. Published by 20th Century Fox, Los Angeles.Lichtenstein created this print as a promotional placard for the movie Joanna, a 20th Century Fox release starring Donald Sutherland and directed by Michael Sarne. It was released in 1968 to critical acclaim, though ultimately lost money for the studio.  The plot centered around Joanna (Genevieve Waite), a wide-eyed 17-year-old who dreams of a glamorous new life for herself in swinging London. She falls in with sexually liberal artists, aristocrats and youths. Corlett III 24.",,,776738
249,10000,15000,"S.M.S. I-VI, A Collection of Original Multiples.","S.M.S. I-VI, A Collection of Original Multiples.

Set of 6 volumes with approximately 73 multiples, 1968. Each 180x330 mm; 7x12 inches, loose as issued. The deluxe edition of 100, aside from the regular edition of 2000. Each multiple signed, some dated or numbered 84/100 in pencil and ink. Published by the Letter Edged in Black Press, Inc., New York. Each in an original printed folder with inventories signed by William Copley. With the original cardboard box.S.M.S. (the acronym for Shit Must Stop) is a collection of six portfolios conceived by the artists William Copley (1919-1996) and Dimitri Petrov (1919-1986). The collection was published bi-weekly from February to December 1968. Each issue is composed of diverse art works and objects, created by individual artists considered groundbreaking and influential at that period. The portfolios include various aspects such as Dada, Surrealism and Pop Art in various media such as photography, print and writings.Includes works by CHRISTO, DUCHAMP, HAMILTON, KOSUTH, LICHTENSTEIN (Corlett III.9), NAUMAN, OLDENBURG (Axsom 56), ONO, RAMOS and MAN RAY.",,,775723
250,12000,18000,ROY LICHTENSTEIN Salute to Aviation.,"ROY LICHTENSTEIN
Salute to Aviation.

Color screenprint on smooth, white wove paper, 1968. 1089x548 mm; 42x21 inches, full margins. Signed, dated and numbered 47/135 in pencil, lower margin. Printed by Sirocco Screenprints, New Haven, under the direction of Ives-Sillman, New Haven, with the blind stamp, lower right. Published by Richard Feigen Graphics, New York, with the blind stamp, lower right. A very good impression of this large print with strong colors. Corlett 63.",,,775052
251,10000,15000,ROY LICHTENSTEIN Cow Triptych (Cow Going Abstract).,"ROY LICHTENSTEIN
Cow Triptych (Cow Going Abstract). 

Set of 3 color screenprints on white wove paper, 1982. Each 602x722 mm; 23¾x28½ inches, full margins. Each numbered 84/150 in pencil, lower left, the last panel also signed in pencil, lower right. Published by Fratelli Alinari, Florence. Very good impressions with strong colors. Corlett App. 9.",,,774835
252,1200,1800,LARRY RIVERS Camel.,"LARRY RIVERS
Camel.

Color lithograph, 1980. 282x218 mm; 11x8 inches, full margins. Artist's proof, aside from the edition of 75. Signed and inscribed ""A.P."" in pencil, lower margin. A very good impression.With--Sketches and Self Portrait, 1982. 705x565 mm; 27x22¼ inches, full margins. One of 25 numbered artist's proofs. Signed, dated and inscribed ""A.P. 6/25"" in pencil, lower right.",,,770177
253,1500,2500,JIM DINE Hammer and Rainbow.,"JIM DINE
Hammer and Rainbow.

Pencil and watercolor on typed letter with Xerox, circa 1963. 330x215 mm; 13x8½ inches.  Signed and inscribed ""Dear Audrey, I love your Xerox! Many Thanx Jim Dine.""Ex-collection private collection, St. Louis.The recipient of this work, Audrey Sabol, was a curator of contemporary art who founded the Beautiful Bag and Box Co. with Joan Kron. She wrote this letter to Dine with a photocopy of a hammer, which Dine embellished and returned to her.",,,775355
254,1500,2500,JIM DINE Hammer and Awl.,"JIM DINE
Hammer and Awl.

Pencil on paper, 1975. 380x256 mm; 15x9 inches. Signed and dated in pencil, lower recto.Ex-collection private collection, St. Louis.",,,775356
255,2000,3000,JIM DINE The New French Tools 3--For Pep.,"JIM DINE
The New French Tools 3--For Pep.

Etching, aquatint and electric tools on tan wove paper, 1984. 600x490 mm; 23½x19¼inches, full margins. Signed, dated and numbered 2/50 in pencil, lower margin. Printed by Atelier Crommelynck, Paris. Published by Pace, New York. From New French Tools. A very good impression.Dine's (b. 1935) New French Tools series marked his return to these common place subjects of the 1960s and 1970s. The copper plates used in these etchings were extensively worked using power tools in the Atelier Commelynck, Paris workshop. The plate for the present work would later be reworked in the following year to produce Tools and Dreams. The titles for the New French Tools set relate to Dine's memories of Paris, ""Pep"" being the nickname of the printer Aldo Crommelynck's wife. Crommelynck had a close working relationship with Dine, together they collaborated on more than 100 prints. D'Oench/Feinberg 173.",,,776307
256,1000,1500,JIM DINE Fork.,"JIM DINE
Fork.

Lithograph with hand coloring in watercolor on Auvergne Narcisse paper, 1973. 215x205 mm; 8x8 inches, full margins. Signed, dated and numbered 9/10 in pencil, lower margin and the copyright blind stamp, lower right. Published by Petersburg Press, New York, with the blind stamp, lower right. From Ten Winter Tools. A very good impression with strong colors. Williams College 123.",,,775817
257,1000,1500,JIM DINE Six Hearts.,"JIM DINE
Six Hearts.

Color offset lithograph with collage, spray-paint and hand coloring in tempera on handmade paper, 1970. 790x570 mm; 31x22 inches (sheet), full margins. Signed, dated and numbered 37/79 in pencil, upper left. Printed and published by Petersburg Press, London. A very good impression. Williams College 12.",,,775742
258,4000,6000,"JIM DINE Early Morning, Japanese.","JIM DINE
Early Morning, Japanese.

Woodcut with hand coloring in watercolor on Japan paper, 2004. 940x640 mm; 37x25¼ inches (sheet), full margins. Signed, dated and numbered 8/9 in pencil, lower margin. Published by Pace Editions, Inc., New York. A very good impression of this extremely scarce woodcut.",,,776309
259,2000,3000,JIM DINE The Albertina Venus.,"JIM DINE
The Albertina Venus.

Color etching and aquatint on Zerkall white wove paper, 1989. 450x306 mm; 17¾x12¼ inches, full margins. One of 30 numbered artist's proofs, aside from the edition of 100. Signed, dated, inscribed ""A/P"" and numbered 23/30 in pencil, lower margin. Printed by Werkstatt für Handgedrcukte Original-Graphik, Vienna. Published by Gesellschaft der Freunde der Albertina, Vienna. A very good impression with strong colors. Carpenter 33.",,,776312
260,15000,20000,JIM DINE Singing and Printing XIII.,"JIM DINE
Singing and Printing XIII.

Unique color woodblock relief print with hand coloring in oil, acrylic and charcoal and mechanical abrasion on cream wove paper, 2001. 1774x1008 mm; 69x39 inches (sheet), full margins. Signed and dated in pencil, lower center. Published by Pace Editions, Inc., New York. A superb impression of this large, unique print with vibrant colors.",,,776491
261,1000,1500,CLAES OLDENBURG New Media--New Forms in Painting and Sculpture.,"CLAES OLDENBURG
New Media--New Forms in Painting and Sculpture.

Offset lithograph on Japan paper, 1960. 575x451 mm; 22x18 inches, full margins. Signed and numbered 19/40 in pencil, lower margin. Published by Martha Jackson Gallery, New York.The deluxe, limited edition of Oldenburg's (b.1929) poster to announce the New Media--New Forms in Painting and Sculpture group exhibition at Martha Jackson Gallery, New York, comprised of many ""new"" artists including Jasper Johns (b. 1930, see lots 181-185), Dan Flavin (1933-1996), Jim Dine (b. 1935, see lots 253-260), Robert Indiana (1928-2018, see lots 220-224 and 272-274), Robert Rauschenberg (1925-2008, see lots 186-196) and many others. Axsom 8.",,,775054
262,1500,2500,CLAES OLDENBURG Picasso Cufflink.,"CLAES OLDENBURG
Picasso Cufflink.

Color lithograph on Arches Cover 300-gram paper, 1974. 730x615 mm; 28x24¼ inches, full margins. Signed, dated ""©1974"" and numbered 73/90 in pencil, lower margin. Printed by Landfall Press, Chicago with the blind stamp lower right and the ink stamp verso. Published by Propyläen Verlag, Berlin. From America's Hommage à Picasso. A very good impression. Axsom 113.",,,775705
